Combined Levels,Target
service.maintenance.locksmith,N/A
service.maintenance.maid,N/A
service.maintenance.pest,N/A
service.maintenance.plumbing,N/A
service.maintenance.security,N/A
service.maintenance,N/A
service.marriage,N/A
service.moving.cargos,N/A
service.moving.movers,N/A
service.moving.storage,N/A
service.moving,N/A
service.pet.adoption,N/A
service.pet.breeding,N/A
service.pet.daycare,N/A
service.pet.dog_park,N/A
service.pet.grooming,N/A
service.pet.school,N/A
service.pet.store,N/A
service.pet.supplies,N/A
service.pet.veterinarian,N/A
service.pet,N/A
service.repair.computer,N/A
service.repair.electronic,N/A
service.repair.mobile,N/A
service.repair.watch,N/A
service.repair,N/A
service.utilities.electricity,N/A
service.utilities.internet,N/A
service.utilities.waste,N/A
service.utilities.water,N/A
shop.cosmetics.barber,N/A
shop.cosmetics.beauty,N/A
shop.cosmetics.hair,N/A
shop.cosmetics.nail,N/A
shop.cosmetics.personal_care,N/A
shop.cosmetics.store,N/A
shop.cosmetics.tanning,N/A
shop.cosmetics,N/A
shop.electronics.computer,N/A
shop.electronics.consumer,N/A
shop.electronics.entertainment,N/A
shop.electronics.mobile,N/A
shop.electronics,N/A
shop.fashion.accessories,N/A
shop.fashion.boutique,N/A
shop.fashion.children,N/A
shop.fashion.fabric,N/A
shop.fashion.jewelry,N/A
shop.fashion.lingerie,N/A
shop.fashion.luggage_leather,N/A
shop.fashion.mens,N/A
shop.fashion.perfume,N/A
shop.fashion.shoes,N/A
shop.fashion.specialty,N/A
shop.fashion.sportswear,N/A
shop.fashion.sunglasses,N/A
shop.fashion.uniform,N/A
shop.fashion.watch,N/A
shop.fashion.women,N/A
shop.fashion,N/A
shop.food.bakery,N/A
shop.food.butcher,N/A
shop.food.cheese,N/A
shop.food.dairy,N/A
shop.food.doughnut,N/A
shop.food.ethnic,N/A
shop.food.farmers_market,N/A
shop.food.greengrocer,N/A
shop.food.grocery,N/A
shop.food.health,N/A
shop.food.ice_cream,N/A
shop.food.market_place,N/A
shop.food.other,N/A
shop.food.seafood,N/A
shop.food.sweet,N/A
shop.food.tea_coffee,N/A
shop.food,N/A
shop.habit.alcohol,Alcohol
shop.habit.casino,N/A
shop.habit.gambling,N/A
shop.habit.lottery,N/A
shop.habit.paanwala,N/A
shop.habit.pawnshop,N/A
shop.habit.smoking,N/A
shop.habit.tattoo,N/A
shop.hobby.bookstore,N/A
shop.hobby.comics,Teens
shop.hobby.gaming,Teens
shop.hobby.music,N/A
shop.hobby.toy,Mom
shop.hobby,N/A
shop.home.appliance,N/A
shop.home.arts,N/A
shop.home.bathroom_furnishing,N/A
shop.home.diy,N/A
shop.home.flooring,N/A
shop.home.furniture,N/A
shop.home.garden_center,N/A
shop.home.glass,N/A
shop.home.hardware,N/A
shop.home.houseware,N/A
shop.home.improvement,N/A
shop.home.paint,N/A
shop.home,N/A
shop.mall,N/A
shop.occasion.bridal_studio,N/A
shop.occasion.florist,N/A
shop.occasion.gifts,N/A
shop.occasion.party,N/A
shop.sports.equipment,N/A
shop.sports.horseback,N/A
shop.sports.hunt_fish,N/A
shop.sports.kayak,N/A
shop.sports.outdoor,N/A
shop.sports.skate,N/A
shop.sports.ski,N/A
shop.sports.snowboard,N/A
shop.sports.surf,N/A
shop.sports,N/A
shop.supermarket.convenience,N/A
shop.supermarket.department,N/A
shop.supermarket.discount,N/A
shop.supermarket.general_merchandise,N/A
shop.supermarket.office_supplies,N/A
shop.supermarket.specialty,N/A
shop.supermarket.supercenter,N/A
shop.supermarket.used_goods,N/A
shop.supermarket.wholesale,N/A
shop.supermarket,N/A
transport.aerial_tramway,N/A
transport.aero.aerodrome,N/A
transport.aero.airport,N/A
transport.aero.service,N/A
transport.aero.sports,N/A
transport.aero,N/A
transport.fuel.alternative,N/A
transport.fuel.cng,N/A
transport.fuel.ev,N/A
transport.fuel.gas,N/A
transport.fuel.hydrogen,N/A
transport.fuel,N/A
transport.parking.bicycle,N/A
transport.parking.lot,N/A
transport.parking.space,N/A
transport.parking.two_wheeler,N/A
transport.parking,N/A
transport.rail.commuter,N/A
transport.rail.lightrail,N/A
transport.rail.monorail,N/A
transport.rail.station,N/A
transport.rail.underground,N/A
transport.rest.motorway,N/A
transport.rest,N/A
transport.road.bus_station,N/A
transport.road.primary,N/A
transport.road.rickshaw_stand,N/A
transport.road.taxi,N/A
transport.road.toll_booth,N/A
transport.water.boat_ferry,N/A
transport.water.ferry_terminal,N/A
travel.accommodation.bnb,N/A
travel.accommodation.campground,N/A
travel.accommodation.chalet,N/A
travel.accommodation.guest_house,N/A
travel.accommodation.holiday_park,N/A
travel.accommodation.hostel,N/A
travel.accommodation.hotel,N/A
travel.accommodation.lodging,N/A
travel.accommodation.motel,N/A
travel.accommodation.short_time,N/A
travel.accommodation,N/A
travel.attraction.amusement_park,Teens
travel.attraction.animal_park,Mom
travel.attraction.aquarium,Mom
travel.attraction.art_gallery,N/A
travel.attraction.artwork,N/A
travel.attraction.distillery,Alcohol
travel.attraction.landmark,N/A
travel.attraction.water_park,Mom
travel.attraction.wildlife,N/A
travel.attraction.wildlife_refuge,N/A
travel.attraction.winery,Alcohol
travel.attraction.zoo,Mom
